problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170608T121411132375,102,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121411132375 102 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 20:38:04,2716.895049,2716.895049,42.650769, True,5,3,390,2352.909474
20170608T121411132375,102,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121411132375 102 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 20:38:47,2686.524196,2686.283756,2866.582413, True,5,3,420,1125.188713
20170608T121411132375,102,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121411132375 102 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 21:26:34,2686.524188,2551.283756,3602.498067, False,5,3,449.999992,2312.430193
20170608T121411132375,103,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121411132375 103 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:26:37,3789.376699,3789.376699,7.095333, True,4,4,342.942794,558.051805
20170608T121411132375,103,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121411132375 103 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:26:44,3776.433905,3776.433905,18.847126, True,4,4,330,2305.828022
20170608T121411132375,103,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121411132375 103 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:27:04,3776.433905,3776.433905,43.575176, True,4,4,330,725.109011
20170608T121411132375,103,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121411132375 103 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:27:48,3776.433905,3776.433905,349.169417, True,4,4,330,329.190458
20170608T121411132375,104,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121411132375 104 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:33:37,3497.819419,3497.819419,22.087826, True,2,6,248.065262,109.735877
20170608T121411132375,104,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121411132375 104 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:33:59,2926.062167,2926.062167,60.952724, True,5,3,478.098314,792.844265
20170608T121411132375,104,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121411132375 104 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:35:01,2575.759352,2575.759352,169.461111, True,6,2,739.248395,288.992338
20170608T121411132375,104,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121411132375 104 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:37:51,2196.512024,2196.512024,338.105793, True,6,2,537.009103,1807.60268
20170608T131251001523,101,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T131251001523 101 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:43:29,5604.002792,5604.002792,3.104265, True,1,7,89.999999,1132.777049
20170608T131251001523,101,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T131251001523 101 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:43:33,5604.002793,5604.002793,2.818943, True,1,7,90,1132.777049
20170608T131251001523,101,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T131251001523 101 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:43:36,5604.002793,5604.002793,4.511824, True,1,7,90,1132.777049
20170608T131251001523,101,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T131251001523 101 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:43:41,5604.002793,5604.002793,4.486955, True,1,7,90,1102.777049
20170608T131251001523,102,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T131251001523 102 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:43:46,5101.911379,5101.911379,6.313868, True,4,4,329.999999,4982.449614
20170608T131251001523,102,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T131251001523 102 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:43:53,5096.26022,5096.26022,21.13602, True,4,4,329.999999,4072.381434
20170608T131251001523,102,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T131251001523 102 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:44:14,5096.260221,5096.260221,121.061289, True,4,4,330,1281.044615
20170608T131251001523,102,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T131251001523 102 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:46:16,5096.260221,5096.260221,172.026293, True,4,4,300,13077.81559
20170608T131251001523,103,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T131251001523 103 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:49:08,5557.535099,5557.535099,4.768557, True,2,6,180,273.773709
20170608T131251001523,103,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T131251001523 103 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:49:13,5257.54367,5257.54367,6.501959, True,2,6,179.999999,143.428766
20170608T131251001523,103,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T131251001523 103 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:49:20,5257.54367,5257.54367,11.368418, True,2,6,179.999999,143.428766
20170608T131251001523,103,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T131251001523 103 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:49:32,5257.543671,5257.543671,17.917846, True,2,6,180,143.428767
20170608T131251001523,104,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T131251001523 104 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:49:50,4500.830395,4500.830395,7.770094, True,3,5,240,147.63112
20170608T131251001523,104,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T131251001523 104 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:49:58,3814.183594,3814.183594,19.511334, True,4,4,453.587107,290.877504
20170608T131251001523,104,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T131251001523 104 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:50:18,3310.578744,3310.578744,31.025821, True,6,2,747.343246,369.537177
20170608T131251001523,104,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T131251001523 104 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:50:50,3220.578744,3220.578744,191.517401, True,6,2,646.021277,2855.04948
20170608T121426910678,101,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121426910678 101 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:54:01,3192.120148,3192.120148,4.268099, True,4,4,515.229071,614.85839
20170608T121426910678,101,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121426910678 101 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:54:06,3102.120148,3102.120148,5.06077, True,4,4,300,7159.10533
20170608T121426910678,101,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121426910678 101 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:54:12,3102.120148,3102.120148,8.392776, True,4,4,300,7191.552937
20170608T121426910678,101,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121426910678 101 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 22:54:21,3102.120148,3102.120148,19.271865, True,4,4,300,6475.142182
20170608T121426910678,102,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121426910678 102 3600 1 1 -1 1 1 1 -1,8, 2019-06-27 22:54:40,2893.884507,2893.884507,8.109573, True,4,4,330,890.034131
20170608T121426910678,102,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121426910678 102 3600 1 2 -1 1 1 1 -1,8, 2019-06-27 22:54:49,2724.455375,2724.455375,202.624038, True,6,2,480,1891.413128
20170608T121426910678,102,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121426910678 102 3600 1 3 -1 1 1 1 -1,8, 2019-06-27 22:58:12,2724.454301,2574.455375,3601.598217, False,6,2,449.998926,1907.89907
20170608T121426910678,102,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121426910678 102 3600 1 4 -1 1 1 1 -1,8, 2019-06-27 23:58:14,2724.45391,2397.348424,3603.709369, False,6,2,419.998535,8453.877845
20170608T121426910678,103,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121426910678 103 3600 1 1 -1 1 1 1 -1,8, 2019-06-28 00:58:18,3412.100165,3412.100165,11.296304, True,3,5,249.202264,65.824445
20170608T121426910678,103,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121426910678 103 3600 1 2 -1 1 1 1 -1,8, 2019-06-28 00:58:30,3240.558803,3240.558803,28.83874, True,4,4,330,3503.209931
20170608T121426910678,103,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121426910678 103 3600 1 3 -1 1 1 1 -1,8, 2019-06-28 00:58:59,3210.558803,3210.558803,52.197993, True,5,3,390,5990.028195
20170608T121426910678,103,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121426910678 103 3600 1 4 -1 1 1 1 -1,8, 2019-06-28 00:59:51,3180.558803,3180.558803,73.551221, True,5,3,709.590912,5497.566725
20170608T121426910678,104,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121426910678 104 3600 1 1 -1 1 1 1 -1,8, 2019-06-28 01:01:05,3105.762879,3105.762879,21.640345, True,3,5,319.539274,0
20170608T121426910678,104,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121426910678 104 3600 1 2 -1 1 1 1 -1,8, 2019-06-28 01:01:27,2838.348534,2838.348534,80.301405, True,5,3,401.391355,884.131374
20170608T121426910678,104,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121426910678 104 3600 1 3 -1 1 1 1 -1,8, 2019-06-28 01:02:48,2724.455375,2724.400723,1514.071809, True,6,2,450,2541.223539
20170608T121426910678,104,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121426910678 104 3600 1 4 -1 1 1 1 -1,8, 2019-06-28 01:28:02,2724.455187,2484.455375,3602.998529, False,6,2,449.999812,3154.918956
20170608T121442695307,101,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121442695307 101 3600 1 1 -1 1 1 1 -1,8, 2019-06-28 02:28:06,3127.968871,3127.968871,4.097138, True,2,6,180,3501.44227
20170608T121442695307,101,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121442695307 101 3600 1 2 -1 1 1 1 -1,8, 2019-06-28 02:28:10,3127.968871,3127.968871,6.249128, True,2,6,180,3541.269794
20170608T121442695307,101,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121442695307 101 3600 1 3 -1 1 1 1 -1,8, 2019-06-28 02:28:17,3127.968871,3127.968871,24.203145, True,2,6,180,388.788975
20170608T121442695307,101,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121442695307 101 3600 1 4 -1 1 1 1 -1,8, 2019-06-28 02:28:41,3127.968871,3127.968871,30.480834, True,2,6,180,2643.574692
20170608T121442695307,102,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121442695307 102 3600 1 1 -1 1 1 1 -1,8, 2019-06-28 02:29:12,2428.752321,2428.752321,32.888423, True,4,4,348.558848,2130.840232
20170608T121442695307,102,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121442695307 102 3600 1 2 -1 1 1 1 -1,8, 2019-06-28 02:29:45,1926.583661,1926.583661,184.499184, True,5,3,390,2031.240191
20170608T121442695307,102,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121442695307 102 3600 1 3 -1 1 1 1 -1,8, 2019-06-28 02:32:50,1926.583644,1656.583661,3601.819288, False,5,3,359.999983,2340.949444
20170608T121442695307,102,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121442695307 102 3600 1 4 -1 1 1 1 -1,8, 2019-06-28 03:32:52,1909.751736,1612.325987,3603.474818, False,7,1,510,3529.116182
20170608T121442695307,103,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121442695307 103 3600 1 1 -1 1 1 1 -1,8, 2019-06-28 04:32:56,2847.013565,2847.013565,17.873438, True,3,5,316.31453,28.221358
20170608T121442695307,103,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121442695307 103 3600 1 2 -1 1 1 1 -1,8, 2019-06-28 04:33:15,2508.159341,2508.159341,30.633123, True,3,5,285.943568,2281.104556
20170608T121442695307,103,3600,1, mFSTSP IP,3,-1, True, True,1,-1, main.py 20170608T121442695307 103 3600 1 3 -1 1 1 1 -1,8, 2019-06-28 04:33:46,2436.222785,2436.222785,74.396826, True,6,2,480,2559.267865
20170608T121442695307,103,3600,1, mFSTSP IP,4,-1, True, True,1,-1, main.py 20170608T121442695307 103 3600 1 4 -1 1 1 1 -1,8, 2019-06-28 04:35:00,2436.222785,2436.222785,472.988546, True,6,2,510,3449.137301
20170608T121442695307,104,3600,1, mFSTSP IP,1,-1, True, True,1,-1, main.py 20170608T121442695307 104 3600 1 1 -1 1 1 1 -1,8, 2019-06-28 04:42:54,2662.333725,2662.333725,41.973717, True,2,6,150,332.66514
20170608T121442695307,104,3600,1, mFSTSP IP,2,-1, True, True,1,-1, main.py 20170608T121442695307 104 3600 1 2 -1 1 1 1 -1,8, 2019-06-28 04:43:36,2329.668585,2329.668585,101.863102, True,4,4,507.347991,60
