problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170608T121411132375,102,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 102 5 2 3 -1 1 1,8, 2018-04-19 12:30:22,2302.082014,-1,0.059784, False,6,2,732.579093,1176.024931
20170608T121411132375,102,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 102 5 2 4 -1 1 1,8, 2018-04-19 12:30:22,2287.907153,-1,0.093414, False,6,2,658.404232,1206.149092
20170608T121411132375,103,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 103 5 2 1 -1 1 1,8, 2018-04-19 12:30:23,4048.424054,-1,0.086961, False,2,6,216.586692,30.448286
20170608T121411132375,103,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 103 5 2 2 -1 1 1,8, 2018-04-19 12:30:23,4055.010946,-1,0.130232, False,3,5,306.586692,66.744965
20170608T121411132375,103,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 103 5 2 3 -1 1 1,8, 2018-04-19 12:30:24,4055.010946,-1,0.15113, False,3,5,306.586692,66.744965
20170608T121411132375,103,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 103 5 2 4 -1 1 1,8, 2018-04-19 12:30:25,4055.010946,-1,0.133234, False,3,5,306.586692,66.744965
20170608T121411132375,104,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 104 5 2 1 -1 1 1,8, 2018-04-19 12:30:25,4011.837362,-1,0.083001, False,2,6,150,477.693561
20170608T121411132375,104,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 104 5 2 2 -1 1 1,8, 2018-04-19 12:30:26,3406.826177,-1,0.13149, False,5,3,980.169342,1390.768502
20170608T121411132375,104,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 104 5 2 3 -1 1 1,8, 2018-04-19 12:30:26,3126.713577,-1,0.137637, False,5,3,890.189381,888.046232
20170608T121411132375,104,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121411132375 104 5 2 4 -1 1 1,8, 2018-04-19 12:30:27,2982.746348,-1,0.118073, False,5,3,701.462592,803.098566
20170608T121426910678,101,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 101 5 2 1 -1 1 1,8, 2018-04-19 12:30:28,3324.459247,-1,0.092032, False,3,5,425.229072,443.455507
20170608T121426910678,101,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 101 5 2 2 -1 1 1,8, 2018-04-19 12:30:28,3072.616637,-1,0.048726, False,4,4,360,721.326529
20170608T121426910678,101,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 101 5 2 3 -1 1 1,8, 2018-04-19 12:30:29,3072.616637,-1,0.052741, False,4,4,360,721.326529
20170608T121426910678,101,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 101 5 2 4 -1 1 1,8, 2018-04-19 12:30:29,3072.616637,-1,0.062958, False,4,4,360,721.326529
20170608T121426910678,102,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 102 5 2 1 -1 1 1,8, 2018-04-19 12:30:30,2895.109166,-1,0.042803, False,4,4,331.224659,953.038198
20170608T121426910678,102,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 102 5 2 2 -1 1 1,8, 2018-04-19 12:30:30,2724.455375,-1,0.047751, False,6,2,480,2425.581416
20170608T121426910678,102,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 102 5 2 3 -1 1 1,8, 2018-04-19 12:30:31,2724.455375,-1,0.050325, False,6,2,450,2401.054953
20170608T121426910678,102,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 102 5 2 4 -1 1 1,8, 2018-04-19 12:30:31,2724.455375,-1,0.053595, False,6,2,450,2401.054953
20170608T121426910678,103,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 103 5 2 1 -1 1 1,8, 2018-04-19 12:30:32,3539.395927,-1,0.055325, False,3,5,343.445057,218.596224
20170608T121426910678,103,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 103 5 2 2 -1 1 1,8, 2018-04-19 12:30:32,3514.569817,-1,0.084157, False,3,5,332.203035,351.009725
20170608T121426910678,103,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 103 5 2 3 -1 1 1,8, 2018-04-19 12:30:33,3514.569817,-1,0.093436, False,3,5,332.203035,351.009725
20170608T121426910678,103,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 103 5 2 4 -1 1 1,8, 2018-04-19 12:30:33,3514.569817,-1,0.112981, False,3,5,332.203035,351.009725
20170608T121426910678,104,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 104 5 2 1 -1 1 1,8, 2018-04-19 12:30:34,3490.721179,-1,0.104963, False,3,5,591.177214,385.630792
20170608T121426910678,104,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 104 5 2 2 -1 1 1,8, 2018-04-19 12:30:34,3215.492218,-1,0.141875, False,5,3,805.514772,1597.579523
20170608T121426910678,104,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 104 5 2 3 -1 1 1,8, 2018-04-19 12:30:35,3142.804769,-1,0.113326, False,6,2,865.514772,1587.17463
20170608T121426910678,104,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121426910678 104 5 2 4 -1 1 1,8, 2018-04-19 12:30:36,3142.804769,-1,0.113787, False,6,2,865.514772,1587.17463
20170608T121442695307,101,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 101 5 2 1 -1 1 1,8, 2018-04-19 12:30:36,2534.267478,-1,0.127223, False,3,5,342.051705,364.673055
20170608T121442695307,101,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 101 5 2 2 -1 1 1,8, 2018-04-19 12:30:37,2714.3817,-1,0.123319, False,4,4,369.434666,507.881714
20170608T121442695307,101,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 101 5 2 3 -1 1 1,8, 2018-04-19 12:30:37,2555.730297,-1,0.111367, False,4,4,270,501.905708
20170608T121442695307,101,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 101 5 2 4 -1 1 1,8, 2018-04-19 12:30:38,2577.220649,-1,0.078503, False,5,3,390,809.527853
20170608T121442695307,102,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 102 5 2 1 -1 1 1,8, 2018-04-19 12:30:38,2503.950787,-1,0.068159, False,3,5,258.558848,160.318361
20170608T121442695307,102,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 102 5 2 2 -1 1 1,8, 2018-04-19 12:30:39,2057.746618,-1,0.096362, False,6,2,550.754959,1125.10657
20170608T121442695307,102,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 102 5 2 3 -1 1 1,8, 2018-04-19 12:30:39,1984.950233,-1,0.108885, False,6,2,450,1977.055504
20170608T121442695307,102,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 102 5 2 4 -1 1 1,8, 2018-04-19 12:30:40,1909.751767,-1,0.08667, False,7,1,540,3094.090947
20170608T121442695307,103,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 103 5 2 1 -1 1 1,8, 2018-04-19 12:30:41,2847.013565,-1,0.105958, False,3,5,316.31453,166.432456
20170608T121442695307,103,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 103 5 2 2 -1 1 1,8, 2018-04-19 12:30:41,2817.276704,-1,0.085792, False,5,3,637.316065,611.733604
20170608T121442695307,103,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 103 5 2 3 -1 1 1,8, 2018-04-19 12:30:42,2748.486752,-1,0.134346, False,6,2,697.316065,920.723439
20170608T121442695307,103,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 103 5 2 4 -1 1 1,8, 2018-04-19 12:30:42,2748.486752,-1,0.142631, False,6,2,697.316065,920.723439
20170608T121442695307,104,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 104 5 2 1 -1 1 1,8, 2018-04-19 12:30:43,3009.911716,-1,0.075105, False,2,6,519.443396,181.494385
20170608T121442695307,104,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 104 5 2 2 -1 1 1,8, 2018-04-19 12:30:43,2674.579214,-1,0.140101, False,5,3,800.478063,835.991302
20170608T121442695307,104,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 104 5 2 3 -1 1 1,8, 2018-04-19 12:30:44,2439.437087,-1,0.164698, False,6,2,527.523868,1150.618908
20170608T121442695307,104,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121442695307 104 5 2 4 -1 1 1,8, 2018-04-19 12:30:45,2195.86354,-1,0.170947, False,6,2,718.871881,861.279571
20170608T121458174165,101,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 101 5 2 1 -1 1 1,8, 2018-04-19 12:30:45,5500.209876,-1,0.02638, False,1,7,119.481263,0
20170608T121458174165,101,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 101 5 2 2 -1 1 1,8, 2018-04-19 12:30:46,5527.234129,-1,0.039575, False,0,8,0,0
20170608T121458174165,101,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 101 5 2 3 -1 1 1,8, 2018-04-19 12:30:46,5527.234129,-1,0.050795, False,0,8,0,0
20170608T121458174165,101,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 101 5 2 4 -1 1 1,8, 2018-04-19 12:30:47,5527.234129,-1,0.046138, False,0,8,0,0
20170608T121458174165,102,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 102 5 2 1 -1 1 1,8, 2018-04-19 12:30:47,3610.604743,-1,0.04766, False,4,4,1100.624828,691.417723
20170608T121458174165,102,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 102 5 2 2 -1 1 1,8, 2018-04-19 12:30:48,2678.809462,-1,0.056617, False,5,3,486.178467,1046.448821
20170608T121458174165,102,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 102 5 2 3 -1 1 1,8, 2018-04-19 12:30:48,2612.630995,-1,0.0502, False,5,3,420,687.834516
20170608T121458174165,102,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 102 5 2 4 -1 1 1,8, 2018-04-19 12:30:49,2612.630995,-1,0.055029, False,5,3,420,687.834516
20170608T121458174165,103,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 103 5 2 1 -1 1 1,8, 2018-04-19 12:30:49,5333.767942,-1,0.022318, False,1,7,186.677202,0
20170608T121458174165,103,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 103 5 2 2 -1 1 1,8, 2018-04-19 12:30:50,5333.767942,-1,0.028014, False,1,7,186.677202,0
20170608T121458174165,103,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 103 5 2 3 -1 1 1,8, 2018-04-19 12:30:50,5333.767942,-1,0.031857, False,1,7,186.677202,0
20170608T121458174165,103,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 103 5 2 4 -1 1 1,8, 2018-04-19 12:30:51,5333.767942,-1,0.033175, False,1,7,186.677202,0
20170608T121458174165,104,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 104 5 2 1 -1 1 1,8, 2018-04-19 12:30:51,5123.365364,-1,0.046769, False,2,6,426.221565,180.13192
20170608T121458174165,104,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 104 5 2 2 -1 1 1,8, 2018-04-19 12:30:52,5079.077918,-1,0.092161, False,4,4,437.993199,566.361697
20170608T121458174165,104,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 104 5 2 3 -1 1 1,8, 2018-04-19 12:30:52,5079.077918,-1,0.096937, False,4,4,437.993199,566.361697
20170608T121458174165,104,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121458174165 104 5 2 4 -1 1 1,8, 2018-04-19 12:30:53,5079.077918,-1,0.109547, False,4,4,437.993199,566.361697
20170608T121529379067,101,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 101 5 2 1 -1 1 1,8, 2018-04-19 12:30:53,4019.237905,-1,0.084329, False,1,7,214.670303,0
20170608T121529379067,101,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 101 5 2 2 -1 1 1,8, 2018-04-19 12:30:54,4019.237905,-1,0.135313, False,1,7,214.670303,0
20170608T121529379067,101,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 101 5 2 3 -1 1 1,8, 2018-04-19 12:30:55,4019.237905,-1,0.166367, False,1,7,214.670303,0
20170608T121529379067,101,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 101 5 2 4 -1 1 1,8, 2018-04-19 12:30:55,4019.237905,-1,0.148174, False,1,7,214.670303,0
20170608T121529379067,102,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 102 5 2 1 -1 1 1,8, 2018-04-19 12:30:56,3739.421376,-1,0.041898, False,2,6,271.937605,85.436462
20170608T121529379067,102,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 102 5 2 2 -1 1 1,8, 2018-04-19 12:30:56,3602.899092,-1,0.056651, False,3,5,210,1015.918313
20170608T121529379067,102,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 102 5 2 3 -1 1 1,8, 2018-04-19 12:30:57,3602.899092,-1,0.057613, False,3,5,210,1015.918313
20170608T121529379067,102,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 102 5 2 4 -1 1 1,8, 2018-04-19 12:30:57,3602.899092,-1,0.061569, False,3,5,210,1015.918313
20170608T121529379067,103,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 103 5 2 1 -1 1 1,8, 2018-04-19 12:30:58,4342.372647,-1,0.045444, False,0,8,0,0
20170608T121529379067,103,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 103 5 2 2 -1 1 1,8, 2018-04-19 12:30:58,4342.372647,-1,0.069791, False,0,8,0,0
20170608T121529379067,103,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 103 5 2 3 -1 1 1,8, 2018-04-19 12:30:59,4342.372647,-1,0.079398, False,0,8,0,0
20170608T121529379067,103,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 103 5 2 4 -1 1 1,8, 2018-04-19 12:31:00,4342.372647,-1,0.090586, False,0,8,0,0
20170608T121529379067,104,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 104 5 2 1 -1 1 1,8, 2018-04-19 12:31:00,3894.567602,-1,0.048774, False,1,7,90,27.014589
20170608T121529379067,104,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 104 5 2 2 -1 1 1,8, 2018-04-19 12:31:01,3737.001323,-1,0.070369, False,5,3,505.809569,436.994402
20170608T121529379067,104,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 104 5 2 3 -1 1 1,8, 2018-04-19 12:31:01,3730.190261,-1,0.076105, False,5,3,498.998507,1103.084888
20170608T121529379067,104,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121529379067 104 5 2 4 -1 1 1,8, 2018-04-19 12:31:02,3674.188205,-1,0.090488, False,5,3,475.809569,1870.227605
20170608T121545140439,101,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 101 5 2 1 -1 1 1,8, 2018-04-19 12:31:02,5006.417939,-1,0.027436, False,1,7,90,157.070505
20170608T121545140439,101,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 101 5 2 2 -1 1 1,8, 2018-04-19 12:31:03,4985.762935,-1,0.032551, False,2,6,250.349328,187.070505
20170608T121545140439,101,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 101 5 2 3 -1 1 1,8, 2018-04-19 12:31:03,4985.762935,-1,0.034888, False,2,6,250.349328,187.070505
20170608T121545140439,101,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 101 5 2 4 -1 1 1,8, 2018-04-19 12:31:04,4985.762935,-1,0.037693, False,2,6,250.349328,187.070505
20170608T121545140439,102,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 102 5 2 1 -1 1 1,8, 2018-04-19 12:31:04,3732.050837,-1,0.053083, False,4,4,330,1236.904919
20170608T121545140439,102,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 102 5 2 2 -1 1 1,8, 2018-04-19 12:31:05,3732.050837,-1,0.111027, False,4,4,300,1178.225437
20170608T121545140439,102,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 102 5 2 3 -1 1 1,8, 2018-04-19 12:31:05,3559.202425,-1,0.056095, False,5,3,546.092329,1341.952325
20170608T121545140439,102,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 102 5 2 4 -1 1 1,8, 2018-04-19 12:31:06,3489.546284,-1,0.051284, False,5,3,476.436188,1135.585244
20170608T121545140439,103,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 103 5 2 1 -1 1 1,8, 2018-04-19 12:31:06,4960.119762,-1,0.051424, False,3,5,467.709883,160.31699
20170608T121545140439,103,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 103 5 2 2 -1 1 1,8, 2018-04-19 12:31:07,4857.825264,-1,0.034025, False,3,5,365.415385,148.022491
20170608T121545140439,103,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 103 5 2 3 -1 1 1,8, 2018-04-19 12:31:07,4857.825264,-1,0.031536, False,3,5,365.415385,148.022491
20170608T121545140439,103,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 103 5 2 4 -1 1 1,8, 2018-04-19 12:31:08,4857.825264,-1,0.038316, False,3,5,365.415385,148.022491
20170608T121545140439,104,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 104 5 2 1 -1 1 1,8, 2018-04-19 12:31:08,4670.28479,-1,0.069777, False,4,4,1274.154277,1150.161087
20170608T121545140439,104,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 104 5 2 2 -1 1 1,8, 2018-04-19 12:31:09,4425.785984,-1,0.155277, False,4,4,517.631657,1204.551884
20170608T121545140439,104,5,2, mFSTSP Heuristic,3,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 104 5 2 3 -1 1 1,8, 2018-04-19 12:31:09,4425.785984,-1,0.16996, False,4,4,517.631657,1204.551884
20170608T121545140439,104,5,2, mFSTSP Heuristic,4,1, True, True, mfstsp_mission_control.py seattle 20170608T121545140439 104 5 2 4 -1 1 1,8, 2018-04-19 12:31:10,4425.785984,-1,0.167493, False,4,4,517.631657,1204.551884
20170608T121601152699,101,5,2, mFSTSP Heuristic,1,1, True, True, mfstsp_mission_control.py seattle 20170608T121601152699 101 5 2 1 -1 1 1,8, 2018-04-19 12:31:11,3835.539426,-1,0.027173, False,3,5,270,448.499147
20170608T121601152699,101,5,2, mFSTSP Heuristic,2,1, True, True, mfstsp_mission_control.py seattle 20170608T121601152699 101 5 2 2 -1 1 1,8, 2018-04-19 12:31:11,3850.241554,-1,0.035019, False,2,6,180,337.153812
